几天了怎么还没退款,退款预计1-3个工作日原路返回到账，您注意查收,20221206 16:01:39
我想问下购买韩雪讲给孩子得20本名著，199远是讲10本然后还赠送10笨实体书吗？你看下截图上是这样写得,这边反馈商家核实一下哦然后给您短信告知,20230318 13:39:01
取消退款,无法取消退款申请,20221117 19:24:47
这个还有货吗？没有就赶紧给我退款吧,好呢帮您登记退款是否解决：,20221119 16:45:07
"查询物流，告知最新2023年2月18日上午10:12:44【巴音郭楞蒙古自治州】您的快递已签收,签收人在【熊猫快收的熊猫快收香榭雅居雅居超市店】(库尔勒市迎宾街道香榭雅居(雅居超市))签收。如有疑问请电联:（）",催促，用户离线,20230223 14:20:48
咨询单编号：再次咨询相同问题,告知耐心等待核,20230427 11:13:37
商品已寄出,已经帮您反馈商家申请退运费您等待退货商品签收后帮您处理退款,20230427 18:06:59
退款,催促退款,20221210 17:43:54
催发货，已钉钉催促,后续会私信或者短信告知您的呢~,20221206 19:11:47
请问兔子的干发帽是兔子的形状，还是那种长方形的一条条状的毛巾啊为什么干发帽的页面土和详情图不一样啊,这边反馈核实下哦,20221206 12:58:43
为什么48小时还没发货啊,这边催促商家哦是否解决：,20221208 17:58:31
反馈结果呢反馈结果在哪里,客服已经为您反馈了哈目前还未有结果是否解决：,20221206 16:58:20
退款,退款预计1-3个工作日原路返回到账，您注意查收。,20230223 21:44:52
咨询退货情况电商安徽聚悦电子商务有限公司,告知建议等待物流送达签收后在来访核实,20230329 23:05:19
我的音箱被别人故意损坏了，可以维修吗？电商,辛苦您将音箱拍照发送下呢,20230324 23:07:41
物流没发货,催促处理,20221221 15:21:51
日历什么时候发货,这边为您催促一下仓库哦有回复给您短信告知哦是否解决：,20221229 13:28:02
物流信息一直未更新,催促下的,20230106 15:03:21
我购买的商品坏了，如何退货退款？,核实已经反馈告知耐心等候私信结果,20230201 21:21:44
用户催促实物发货,已对接供应商发货催促,20230311 13:31:21
我购买的会员未到账,喜马拉雅×keep能量礼盒这个商品内的会员是实体卡的,20230109 08:08:20
这个链接里，50和100毫升价格都是680,发送价格页面截图这边查询到点击一下选择后价格是不同的呢,20230222 10:32:48
我负了积分，没有负钱迪士尼透明仓蓝牙耳机LY-311我需要，如果我没负钱是不是就得不到商品,您如果不需要的话可以取消一下订单哦是的呢是否解决：,20221102 14:52:37
这个退货的签收了怎么没退款，，，,反馈商家核实,20221128 08:29:40
我买了这个套餐，怎么会员还听不了,这个是实物商品，会员需要收到商品之后兑换到账的呢,20230124 20:59:47
这耳机标配5v1a的，那我去哪找5v1a的充电头,您可以在购物平台查看下呢~,20230221 15:24:06
这耳机标配5v1a的那我充电头现在最低都是5v2a,抱歉的呢，建议使用规定的充电器的呢,20230221 15:33:44
麻烦帮我查一下这个快递有没有,购买了什么商品辛苦您提供下订单号,20230110 16:33:57
没有签收退了,这边反馈处理退款会在1-3个工作日到账,20230108 20:13:44
我买的东西发了一个空壳子过来,查看是正常的就是一个耳机套，不是耳机,20221209 21:00:53
有耳机盒卖吗,已告知暂时无单独耳机盒设备售卖,20230303 09:05:10
有长款甲片吗,可以在喜马拉雅APP--我的--商城查看下，公司网络原因，无法发送用户商城商品截图信息,20230213 20:14:58
口红是虫子做的吗？,告知提供信息离线,20230120 13:30:41
你们家买甲片儿吗？,您可以在喜马拉雅APP--我的--商城查看下哦可以搜索到就是有的哦,20230130 20:04:24
是什么品牌？,不是商城中购买，建议联系购买店铺核实,20230120 09:34:30
月7日兑换的商品没有发货,这边尽快催促哦尽快为您处理哈是否解决：,20230105 13:13:18
我这个订单一直不发货已经催了好几次，还是不发货,有回复给您短信呢是否解决：,20230107 18:32:23
往河南郑州发货吗,您当地如果没有疫情，下单后是预计48小时内发货哦,20221121 14:12:53
在商城里积分兑换的商品寄过来坏了退回需要自己承担邮费吗？,核实信息用户,20230110 09:32:06
帮忙备注需要发良制新上市的那款,尝试备注，已收到的实际物品为准,20221108 10:15:29
因商品有问题镜面磨损包装损坏、镜面完全不服帖、两边的带子也都是断的要退款，要退款咨询退货的话是否包邮,核实私信，群内有回复，已直接告知，无需私信,20230225 20:17:39
退款,催促处理,20230304 09:47:27
催促发货,发群,20230305 10:06:41
这个耳机是不是有软胶的,入耳式的哦是否解决：,20221128 23:40:52
驿站已经将快递退回怎么办没有收到货驿站说是问题件，直接退了,这边尽快跟商家核实一下情况,20230315 10:54:16
我之前购买了一根一拖三的数据线，有时候充得进电，有时候充不进电,这边记录您的问题这边反馈下哦有回复给您私信哦,20221124 09:26:33
请问快充线对充电头有什么要求吗？,这个需配用快充头使用是否解决：,20221119 23:11:36
那个延迟多少秒？,为您反馈商家核实哦,20221129 22:04:27
你看一下这个降噪多少分呗,这个分贝没有具体的数据呢具体以您使用为准哦,20221201 08:27:26
酷狗X5怎么连接智能设备啊？酷狗官网我买的时候做活动官网1399入的连接喜马拉雅的智能设备这个功能,您联系酷狗的哈您联系购买渠道辛苦您联系您购买渠道的哦是链接喜马的产品吗不是喜马拉雅的产品是和喜马拉雅没有关联的您点击页面是有显示的,20221130 00:03:38
我的快递物流信息在哪里可以看呢,物流单号9889646953584这个是寄出的物流单号辛苦您关注这个物流信息哦,20221209 22:30:28
退款失败需要走喜点赔付19.9支付宝账号:陈占葵,帮您申请是否解决：,20221231 10:48:57
我有个快递没收到,这边反馈商家核实一下是否解决：,20221205 15:05:05
物品没有收到，显示已完成,催促,20221204 21:10:43
订单没收到货,这边帮您反馈催促下哦,20221211 22:00:44
我的订单物流信息不更新了，快两个月了,这边为您催促一下，辛苦后续关注一下订单页面物流是否更新呢,20221227 20:25:15
订单未收到货显示已完成,质然良品12个装椅子静音防滑垫这个吗是否解决：,20221123 11:18:03
质然良品12个装椅子静音防滑垫，，申请退款，之前反馈无法补发,反馈商家核实退款,20221129 18:50:46
你好，我寄回售后的锅处理好了吗？ID:,这边反馈催促给您邮寄哦,20221211 18:10:42
你好，我的订单售后了吗？,单号78638211473304，辛苦您注意查收哦，已经邮寄,20221218 20:42:59
我买了订单会员什么时间到,物流单号：432873743346715订单内的会员是需要签收后,20221031 14:20:51
这个商品没有收到快递说没收的话一个月内是会退回的,这边先找商家核实一下情况然后给您短信告知结果哦是否解决：,20230209 10:00:29
买的迪士尼蓝牙耳机有一边没声音,核实订单，用户离线,20221223 13:56:30
买一年会员是给两个耳机吗电商无，售前咨询所属供应商名称：无,一个耳机，x2是耳机的型号呢,20230321 09:06:50
这个订单会员未到帐,会员是实体的收到货之后可以使用实体卡兑换会员,20230109 14:35:20
退款,查看您已申请，您按照订单页的地址寄回寄出签收后联系我们反馈商家处理,20230213 19:31:48
年卡二维码刮破了，然后输入兑换码说我的码无效,小喜这边是可以尝试申请一年喜马拉雅体验会员，其他KEEP会员权益，是无法补偿哦，核实中，离线是否解决：,20230118 17:09:58
无理由退款的东西已经协商好退款在哪退款,寄回的签收后联系我们反馈处理寄出后提供寄出单号,20230107 12:26:40
我在充电冲了半小时就坏了（充电期间没弄过）半小时左右暖手也不可以了手机充电也没闪烁,好哒这边尽快反馈商家核实处理有回复给您短信告知哦是否解决：,20230106 21:00:02
声音日历送年卡，买完之后可以送人吗？就是可以不直充吗,如购买会员+日历的套餐，会员是下单之后立即到账的呢,20221121 11:15:34
请问，我爱吕西安是纸质版的书吗？,这个是实体书籍的哦,20230128 10:47:44
退款,催促处理,20230106 08:12:59
我的订单运输信息3天没更新了,这边反馈商家核实一下呢是否解决：,20221214 19:32:31
实物订单一周前下单的还没有发货催发货,催促发出,20230207 10:27:10
物流12月30号一直未更新，用户催促物流，辛苦处理下,催促,20230104 11:41:31
我这个订单好几天没更新了,因受疫情管制影响，您的极兔包裹可能会延迟，兔兔快递员将根据疫情防控政策变化情况，积极为您安排中转、派送，造成不便，请您谅解！如有疑问，请致电客服热线【18000691611】，造成不便请您谅解！,20221219 18:37:03
我买的迪士尼耳机一直打不开,辛苦您撕掉哦您撕掉之后充电哦,20221115 20:47:57
未发货的商品，退款后钱一直没收到,已处理退款,20230107 23:36:12
退款,反馈拦截下物流，拦截成功后处理,20230123 16:29:03
这商城里面的迪奥口红保真么？是不是正品？,商城内的商品都是有质保的还请您放心购买是正品的,20230317 12:22:31
有otg线吗,这个辛苦您在商城页面搜索下辛苦具体以页面显示为准哦,20221117 16:55:20
有otg线吗,可以在喜播教育小程序中看下是否有售卖的,20221119 12:04:29
我放耳机被寄到上海去了上海微意电子有限公司,核实后台物流已送达签收已告知用户,20230427 09:24:56
【买一得二】喜马拉雅VIP年卡+乐高76400哈利波特系列霍格沃茨夜骐马车和巨齿卡车二选一订单退款影响会员续费吗怎么申请退款,不影响会员续费点击喜马拉雅APP[我的-全部服务-订单]申请,20221028 12:38:02
退货地址,商家同意退款申请后您可以在订单页面看到的,20221028 13:34:17
我买的那个充电宝还没到，但我学校突然要放假了，领不了了，无为什么退不了,这边尽快为您反馈有回复给您短信告知哦是否解决：,20221210 16:24:28
10.2号我家这边还是疫情封控，根本没拿到,已告知物流信息,20221225 14:46:05
什么时候能退款,辛苦一至三个工作日左右关注一下是否到账呢,20230109 12:22:36
什么时候能退款,催促退款,20230110 12:30:55
预约上门取件到现在京东快递没给我来电话呀,若超过这个时间还没有上门的话，您可以拨打京东快递电话咨询一下目前还再处理时间内，辛苦您先耐心等待一下的哦,20230104 12:48:03
退款,退款预计1-3个工作日原路返回到账，您注意查收。,20221204 13:12:59
大概什么时候能发货,催促发出,20221128 15:16:01
